country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,GUJARAT,24,GANDHI NAGAR,473,GANDHINAGAR,3775,DASHELA,511258,244733775511258,EAST,Gujarati,382355,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,THASRA,3878,VITHALPURA,517709,244833878517709,EAST,Gujarati,388225,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,LAKHTAR,3791,VITTHALPARA,512169,244753791512169,EAST,Gujarati,363115,A
IN,Hindi,India,GUJARAT,24,PANCH MAHALS,484,HALOL,3888,VITTHALPURA,518826,244843888518826,EAST,Gujarati,389370,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,VAGHODIA,3899,VYARA,520018,244863899520018,EAST,Gujarati,391760,A
IN,Hindi,India,GUJARAT,24,NAVSARI,490,JALALPORE,3923,WADA,522923,244903923522923,EAST,Gujarati,396436,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0001,8025760001,2448338768025760001,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0002,8025760002,2448338768025760002,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0003,8025760003,2448338768025760003,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0004,8025760004,2448338768025760004,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0005,8025760005,2448338768025760005,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0006,8025760006,2448338768025760006,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0007,8025760007,2448338768025760007,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0008,8025760008,2448338768025760008,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0009,8025760009,2448338768025760009,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0010,8025760010,2448338768025760010,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0011,8025760011,2448338768025760011,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0012,8025760012,2448338768025760012,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0013,8025760013,2448338768025760013,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,NADIAD (M) WARD NO.-0014,8025760014,2448338768025760014,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,KAMLA (OG) (PART)  WARD NO.-0015 (RURAL MDDS CODE:517605),8025760015,2448338768025760015,EAST,Gujarati,387001,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,PADRA,3906,THIKARIYA MATH,521114,244863906521114,EAST,Gujarati,391445,A
IN,Hindi,India,GUJARAT,24,KACHCHH,468,MUNDRA,3730,BARAYA,507321,244683730507321,EAST,Gujarati,370415,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,DHRANGADHRA,3789,THALA,512014,244753789512014,EAST,Gujarati,363310,A
IN,Hindi,India,GUJARAT,24,BHAVNAGAR,481,SIHOR,3856,THORALI,516413,244813856516413,EAST,Gujarati,364260,A
IN,Hindi,India,GUJARAT,24,AMRELI,480,AMRELI,3843,THORDI,515604,244803843515604,EAST,Gujarati,365610,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,SAYLA,3795,THORIYALI,512443,244753795512443,EAST,Gujarati,363430,A
IN,Hindi,India,GUJARAT,24,VALSAD,491,VALSAD,3927,TIGHARA,523246,244913927523246,EAST,Gujarati,396375,A
IN,Hindi,India,GUJARAT,24,PANCH MAHALS,484,SHEHERA,3883,JALAM BARIANA MUVADA,518398,244843883518398,EAST,Gujarati,389210,A
IN,Hindi,India,GUJARAT,24,AHMADABAD,474,DHANDHUKA,3787,JALIYA,511892,244743787511892,EAST,Gujarati,382460,A
IN,Hindi,India,GUJARAT,24,BHAVNAGAR,481,PALITANA,3858,JALIYA,516481,244813858516481,EAST,Gujarati,364270,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,NADIAD,3876,THALEDI,517635,244833876517635,EAST,Gujarati,387710,A
IN,Hindi,India,GUJARAT,24,PANCH MAHALS,484,LUNAWADA,3882,THANA SAVALI,518333,244843882518333,EAST,Gujarati,389220,A
