country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,HARYANA,6,PANIPAT,75,SAMALKHA,377,UJAH (44),59577,60750377059577,North,Hindi,132104,A
IN,Hindi,India,HARYANA,6,REWARI,85,REWARI,414,KADHO ALIAS BHAWANIPUR,62484,60850414062484,North,Hindi,123101,A
IN,Hindi,India,HARYANA,6,HISAR,80,NARNAUND,395,KAGSAR,61039,60800395061039,North,Hindi,125038,A
IN,Hindi,India,HARYANA,6,KURUKSHETRA,72,THANESAR,366,KAHAN GARH (117),58601,60720366058601,North,Hindi,136135,A
IN,Hindi,India,HARYANA,6,MAHENDRAGARH,84,MAHENDRAGARH,411,USHMAPUR(17),62002,60840411062002,North,Hindi,123029,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,JAGADHRI,361,KAIL (378),57894,60710361057894,North,Hindi,135003,A
IN,Hindi,India,HARYANA,6,KARNAL,74,GHARAUNDA,374,KAIMLA (25),59414,60740374059414,North,Hindi,132114,A
IN,Hindi,India,HARYANA,6,KURUKSHETRA,72,SHAHBAD,364,MALAKPUR (251),58351,60720364058351,North,Hindi,136135,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,BILASPUR,362,MALAKPUR BANGAR (268),58098,60710362058098,North,Hindi,135102,A
IN,Hindi,India,HARYANA,6,HISAR,80,HISAR,394,BARWALA (MC),800404,60800394800404,North,Hindi,125121,A
IN,Hindi,India,HARYANA,6,AMBALA,70,AMBALA,359,ANANDPUR JALBERA (121),57371,60700359057371,North,Hindi,134008,A
IN,Hindi,India,HARYANA,6,AMBALA,70,AMBALA,359,SEGTI (306),57483,60700359057483,North,Hindi,134008,A
IN,Hindi,India,HARYANA,6,SIRSA,79,SIRSA,390,MALEWALA(156),60607,60790390060607,North,Hindi,125077,A
IN,Hindi,India,HARYANA,6,PANCHKULA,69,PANCHKULA,357,KAKRALI (22),57164,60690357057164,North,Hindi,134118,A
IN,Hindi,India,HARYANA,6,PALWAL,89,PALWAL,427,KAKRIPUR(54),63610,60890427063610,North,Hindi,121102,A
IN,Hindi,India,HARYANA,6,KARNAL,74,NILOKHERI,370,MANAK MAJRA (33),59049,60740370059049,North,Hindi,132117,A
IN,Hindi,India,HARYANA,6,KARNAL,74,KARNAL,372,KALAISH (PART) (2),59308,60740372059308,North,Hindi,132023,A
IN,Hindi,India,HARYANA,6,AMBALA,70,AMBALA,359,KALARHERI (28),57348,60700359057348,North,Hindi,133005,A
IN,Hindi,India,HARYANA,6,MAHENDRAGARH,84,NARNAUL,412,KALBA(242),62321,60840412062321,North,Hindi,123023,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,JAGADHRI,361,KALESRA (204),57769,60710361057769,North,Hindi,135133,A
IN,Hindi,India,HARYANA,6,KURUKSHETRA,72,THANESAR,366,MANGOLI JATTAN (131),58608,60720366058608,North,Hindi,136156,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,JAGADHRI,361,MANDHAR (26),57816,60710361057816,North,Hindi,135133,A
IN,Hindi,India,HARYANA,6,MEWAT,87,FEROZEPUR JHIRKA,423,MANDIKHERA,63243,60870423063243,North,Hindi,122108,A
IN,Hindi,India,HARYANA,6,GURGAON,86,FARRUKHNAGAR,418,IQBALPUR,62888,60860418062888,North,Hindi,122505,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,CHHACHHRAULI,363,HAFIZPUR (173),58248,60710363058248,North,Hindi,135103,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,CHHACHHRAULI,363,HAIDARPUR (233),58289,60710363058289,North,Hindi,135103,A
IN,Hindi,India,HARYANA,6,PALWAL,89,PALWAL,427,AMRU(38),63650,60890427063650,North,Hindi,121102,A
IN,Hindi,India,HARYANA,6,BHIWANI,81,BHIWANI,398,LALAWAS,61198,60810398061198,North,Hindi,127030,A
IN,Hindi,India,HARYANA,6,YAMUNA NAGAR,71,BILASPUR,362,LALHARI KHURD (224),58096,60710362058096,North,Hindi,135102,A
IN,Hindi,India,HARYANA,6,AMBALA,70,AMBALA,359,LALIANA (269),57492,60700359057492,North,Hindi,134008,A
IN,Hindi,India,HARYANA,6,JHAJJAR,83,JHAJJAR,409,KAIMALGARH,61839,60830409061839,North,Hindi,124104,A
IN,Hindi,India,HARYANA,6,PALWAL,89,PALWAL,427,KAIRAKA(25),63669,60890427063669,North,Hindi,121102,A
IN,Hindi,India,HARYANA,6,JIND,77,NARWANA,382,GHASO KALAN (117),60020,60770382060020,North,Hindi,126116,A
IN,Hindi,India,HARYANA,6,MEWAT,87,FEROZEPUR JHIRKA,423,GHATA SHAMASABAD(106),63301,60870423063301,North,Hindi,122104,A
IN,Hindi,India,HARYANA,6,MAHENDRAGARH,84,NARNAUL,412,KANTI(17),62159,60840412062159,North,Hindi,123021,A
IN,Hindi,India,HARYANA,6,MAHENDRAGARH,84,NARNAUL,412,KANWI(196),62266,60840412062266,North,Hindi,123001,A
IN,Hindi,India,HARYANA,6,AMBALA,70,BARARA,360,KAKAR KUNDA,57570,60700360057570,North,Hindi,133203,A
