country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,RAJASTHAN,08,JHUJHUNU,103,KHETRI,0490,BASAI,071513,081030490071513,North,Rajasthani,333036,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,KAMAN,0506,BASAI DAHRA MAI LOHAGARH,073981,081050506073981,North,Rajasthani,321023,A
IN,Hindi,India,RAJASTHAN,08,BIKANER,101,CHHATARGARH,0479,KAKRALA,069830,081010479069830,North,Rajasthani,334021,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,KOTRI,0635,KAKROLIYA MAFI,095750,081220635095750,North,Rajasthani,311603,A
IN,Hindi,India,RAJASTHAN,08,KARAULI,107,SAPOTRA,0525,KALA GURHA,076971,081070525076971,North,Rajasthani,322218,A
IN,Hindi,India,RAJASTHAN,08,AJMER,119,BEAWAR,0609,KALADANTA,091885,081190609091885,North,Rajasthani,305926,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,BEHROR,0493,UMRAOGARH,071820,081040493071820,North,Rajasthani,301705,A
IN,Hindi,India,RAJASTHAN,08,UDAIPUR,130,GOGUNDA,0686,UMROD,105624,081300686105624,North,Rajasthani,313708,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,PARBATSAR,0564,BANWAL,083594,081120564083594,North,Rajasthani,341512,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,MANDALGARH,0637,MANGTALA,096130,081220637096130,North,Rajasthani,311606,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,SHEO,0577,MANIHARI,086833,081150577086833,North,Rajasthani,344705,A
IN,Hindi,India,RAJASTHAN,08,BARAN,128,SHAHBAD,0675,BANWARIPURA,103396,081280675103396,North,Rajasthani,325217,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,NAWA,0566,ULANA,083908,081120566083908,North,Rajasthani,341509,A
IN,Hindi,India,RAJASTHAN,08,SAWAI MADHOPUR,108,SAWAI MADHOPUR,0531,ULIYANA,077665,081080531077665,North,Rajasthani,322029,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,SAHARA,0633,ULLAI,095426,081220633095426,North,Rajasthani,311805,A
IN,Hindi,India,RAJASTHAN,08,JODHPUR,113,OSIAN,0568,UMADESAR,084685,081130568084685,North,Rajasthani,342312,A
IN,Hindi,India,RAJASTHAN,08,BANSWARA,125,KUSHALGARH,0654,UMAR JHONKA,099771,081250654099771,North,Rajasthani,327801,A
IN,Hindi,India,RAJASTHAN,08,UDAIPUR,130,GIRWA,0689,UMARIYA,106553,081300689106553,North,Rajasthani,313031,A
IN,Hindi,India,RAJASTHAN,08,RAJSAMAND,123,AMET,0641,MANAKDEH,096710,081230641096710,North,Rajasthani,313331,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,SARDARSHAHAR,0483,MANAPARSAR,070283,081020483070283,North,Rajasthani,331411,A
IN,Hindi,India,RAJASTHAN,08,JHALAWAR,129,JHALRAPATAN,0679,MANDA,104133,081290679104133,North,Rajasthani,326036,A
