country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,UTTARAKHAND,05,UDHAM SINGH NAGAR,067,KICHHA,0349,JAGATPURA (OG) WARD NO.-0021 (RURAL MDDS CODE:056017),8003460021,0506703498003460021,North,Rajasthani,263153,A
IN,Hindi,India,UTTARAKHAND,05,UDHAM SINGH NAGAR,067,KICHHA,0349,RUDRAPUR SIDKUL (OG) (PART) WARD NO.-0022 (RURAL MDDS CODE:055929),8003460022,0506703498003460022,North,Rajasthani,263153,A
IN,Hindi,India,UTTARAKHAND,05,UDHAM SINGH NAGAR,067,KICHHA,0349,RAMPURA (OG) (PART) WARD NO.-0023 (RURAL MDDS CODE:055936),8003460023,0506703498003460023,North,Rajasthani,263153,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,DAMUA DHUNGA BANDOBASTI (OG) WARD NO.-0026 (RURAL MDDS CODE:055297),8003350026,0506603428003350026,North,Rajasthani,263126,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,BYURA (OG) WARD NO.-0027 (RURAL MDDS CODE:055298),8003350027,0506603428003350027,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,BAMORI TALLI BANDOBASTI (OG) WARD NO.-0028 (RURAL MDDS CODE:055303),8003350028,0506603428003350028,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,MANPUR UTTAR (OG) WARD NO.-0029 (RURAL MDDS CODE:055301),8003350029,0506603428003350029,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,HARIPUR SUKHA (OG) WARD NO.-0030 (RURAL MDDS CODE:055300),8003350030,0506603428003350030,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,GAUJAJALLY UTTAR (OG) WARD NO.-0031 (RURAL MDDS CODE:055302),8003350031,0506603428003350031,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,KUSUM KHERA  (OG) WARD NO.-0032 (RURAL MDDS CODE:055299),8003350032,0506603428003350032,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,BITHORIA NO.1 (OG) WARD NO.-0033 (RURAL MDDS CODE:055296),8003350033,0506603428003350033,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,KORTA (CHANMARI MOHALLA) (OG) (PART) WARD NO.-0034 (RURAL MDDS CODE:055153),8003350034,0506603428003350034,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,BAMORI MALLI (OG) (PART) WARD NO.-0035 (RURAL MDDS CODE:055151),8003350035,0506603428003350035,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,NAINITAL,066,HALDWANI,0342,BAMORI TALLI KHAM (OG) (PART) WARD NO.-0036 (RURAL MDDS CODE:055155),8003350036,0506603428003350036,North,Rajasthani,263139,A
IN,Hindi,India,UTTARAKHAND,05,HARIDWAR,068,HARDWAR,0354,GURUKUL KANGDI (OG) (PART) WARD NO.-0031 (RURAL MDDS CODE:056705),8003590031,0506803548003590031,North,Rajasthani,249404,A
IN,Hindi,India,UTTARAKHAND,05,HARIDWAR,068,HARDWAR,0354,JWALAPUR MAHAVIDYALAYA (OG) (PART) WARD NO.-0032 (RURAL MDDS CODE:056704),8003590032,0506803548003590032,North,Rajasthani,249407,A
IN,Hindi,India,UTTARAKHAND,05,HARIDWAR,068,HARDWAR,0354,HARDWAR SIDKUL (OG) (PART) WARD NO.-0033 (RURAL MDDS CODE:056665),8003590033,0506803548003590033,North,Rajasthani,249407,A
IN,Hindi,India,UTTARAKHAND,05,GARHWAL,061,KOTDWARA,0313,MANPUR (OG) WARD NO.-0012 (RURAL MDDS CODE:048599),8003190012,0506103138003190012,North,Rajasthani,246149,A
IN,Hindi,India,UTTARAKHAND,05,DEHRADUN,060,DEHRADUN,0304,BHARUWAL GRANT (OG) WARD NO.-0061 (RURAL MDDS CODE:045271),003090061,506003048003090061,North,Rajasthani,248007,A
