timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729273714411,944,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-1",text,false,,2836,0,2,2,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,943
1729273715163,192,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-2",text,false,,2836,0,2,2,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,191
1729273714960,192,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-2",,false,,2836,0,2,2,null,0,498,191
1729273713957,944,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-1",,false,,2836,0,2,2,null,0,750,943
1729273716188,28,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-3",text,false,,2836,0,1,1,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,28
1729273715986,28,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-3",,false,,2836,0,1,1,null,0,215,28
1729273717229,109,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-4",text,false,,2836,0,1,1,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,109
1729273717017,109,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-4",,false,,2836,0,1,1,null,0,225,109
1729273718269,75,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-5",text,false,,2836,0,1,1,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,75
1729273718061,75,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-5",,false,,2836,0,1,1,null,0,217,75
1729273719308,21,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-6",text,false,,2836,0,1,1,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,21
1729273719097,21,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-6",,false,,2836,0,1,1,null,0,221,21
1729273720128,0,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,146,0
1729273720478,26,CreateOrUpdateCsdHierElmVtc,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,"Creation - Role, Employee and Office 1-8",text,false,,2836,0,1,1,https://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,0,0,25
1729273720273,26,VTC,,"Number of samples in transaction : 1, number of failing samples : 1","Creation - Role, Employee and Office 1-8",,false,,2836,0,1,1,null,0,220,25
1729273769208,617,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-1",text,true,,1105,1321,2,2,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,617,0,9
1729273769003,617,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-1",,true,,1105,1321,2,2,null,617,214,9
1729273769727,314,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-2",text,true,,1105,1293,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,314,0,29
1729273769526,314,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-2",,true,,1105,1293,1,1,null,314,210,29
1729273770258,96,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-3",text,true,,1105,1303,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,96,0,10
1729273770045,96,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-3",,true,,1105,1303,1,1,null,96,227,10
1729273770779,76,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-4",text,true,,1105,1294,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,76,0,5
1729273770576,76,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-4",,true,,1105,1294,1,1,null,76,216,5
1729273771310,155,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-5",text,true,,1105,1305,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,155,0,84
1729273771095,155,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-5",,true,,1105,1305,1,1,null,155,226,84
1729273771817,118,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-6",text,true,,1105,1303,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,118,0,67
1729273771615,118,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-6",,true,,1105,1303,1,1,null,118,211,67
1729273772360,60,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-7",text,true,,1105,1298,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,60,0,7
1729273772146,60,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-7",,true,,1105,1298,1,1,null,60,225,7
1729273772890,148,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-8",text,true,,1105,1299,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,148,0,40
1729273772679,148,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-8",,true,,1105,1299,1,1,null,148,218,40
1729273773408,65,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-9",text,true,,1105,1296,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,65,0,34
1729273773195,65,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-9",,true,,1105,1296,1,1,null,65,223,34
1729273773924,153,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-10",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,153,0,31
1729273773722,153,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-10",,true,,1105,1322,1,1,null,153,209,31
1729273774442,60,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-11",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,60,0,6
1729273774240,60,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-11",,true,,1105,1322,1,1,null,60,211,6
1729273774975,283,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-12",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,283,0,207
1729273774763,283,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-12",,true,,1105,1322,1,1,null,283,221,207
1729273775492,66,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-13",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,66,0,11
1729273775290,66,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-13",,true,,1105,1322,1,1,null,66,211,11
1729273776024,144,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-14",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,144,0,81
1729273775812,144,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-14",,true,,1105,1322,1,1,null,144,219,81
