country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0001,8017500001,1934499998017500001,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0002,8017500002,1934499998017500002,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0003,8017500003,1934499998017500003,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0004,8017500004,1934499998017500004,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0005,8017500005,1934499998017500005,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0006,8017500006,1934499998017500006,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0007,8017500007,1934499998017500007,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0008,8017500008,1934499998017500008,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0009,8017500009,1934499998017500009,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0010,8017500010,1934499998017500010,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,RAMJIBANPUR (M) WARD NO.-0011,8017500011,1934499998017500011,EAST,Bengali,721242,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0001,8017510001,1934499998017510001,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0002,8017510002,1934499998017510002,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0003,8017510003,1934499998017510003,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0004,8017510004,1934499998017510004,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0005,8017510005,1934499998017510005,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0006,8017510006,1934499998017510006,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0007,8017510007,1934499998017510007,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0008,8017510008,1934499998017510008,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0009,8017510009,1934499998017510009,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,KSHIRPAI (M) WARD NO.-0010,8017510010,1934499998017510010,EAST,Bengali,721232,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0001,8017520001,1934499998017520001,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0002,8017520002,1934499998017520002,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0003,8017520003,1934499998017520003,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0004,8017520004,1934499998017520004,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0005,8017520005,1934499998017520005,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0006,8017520006,1934499998017520006,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0007,8017520007,1934499998017520007,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0008,8017520008,1934499998017520008,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0009,8017520009,1934499998017520009,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0010,8017520010,1934499998017520010,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0011,8017520011,1934499998017520011,EAST,Bengali,721201,A
IN,Hindi,India,WEST BENGAL,19,WEST MIDNAPORE,344,WEST MIDNAPORE,9999,CHANDRAKONA (M) WARD NO.-0012,8017520012,1934499998017520012,EAST,Bengali,721201,A
